DepthOrig;DepthCorr;DepthAdj;Al;Si;Ca;Ti;K;Zr;
200.185;200.365;62.297;0.577235762;0.56495332;2.814144092;0.3586133;;;
200.186;200.366;62.298;-0.417532458;0.185103362;3.474704742;-0.024607853;;;
200.188;200.368;62.299;1.072427374;0.639240426;2.023359512;0.830874447;;;
200.189;200.369;62.3;-0.334530703;0.155928496;2.050040534;0.070542729;;;
200.19;200.37;62.301;0.432262344;0.370637703;0.949807357;0.268700364;;;
200.191;200.371;62.302;0.435126021;0.694916451;0.480888309;1.037761493;;;
;200.3715;62.303;0.639856227;0.965321342;0.419342365;1.235482657;;;
200.192;200.372;62.304;0.844586434;1.235726206;0.357796421;1.433203821;;;
200.193;200.373;62.305;0.916804675;1.003152982;0.840517765;1.05085561;;;
200.194;200.374;62.306;2.214451009;0.918721487;3.151402531;0.757547392;;;
200.195;200.375;62.307;1.087685378;0.970124832;1.932387471;1.228062658;;;
200.196;200.376;62.308;0.104819295;0.649345467;0.238193588;0.977528555;;;
200.197;200.377;62.309;0.595894377;0.008206162;-0.323544642;0.266081541;;;
200.198;200.378;62.31;-0.698038129;-0.136213356;-0.772966014;0.297507421;;;
200.2;200.38;62.311;0.050454262;-0.145518897;-0.943724581;-0.059525498;;;
200.201;200.381;62.312;0.098733991;0.121812523;-0.513031245;0.253860365;;;
200.202;200.382;62.313;0.533654251;-0.057234118;-0.297838502;0.546295641;;;
200.203;200.383;62.314;0.92508248;0.981265289;-0.128670531;1.242029715;;;
;200.3835;62.315;0.793420657;1.166832378;-0.070357089;1.771468506;;;
200.204;200.384;62.316;0.661758842;1.352399467;-0.012043654;2.300907297;;;
200.205;200.385;62.317;0.562962149;0.395277742;-0.070331437;1.717782627;;;
200.206;200.386;62.318;1.261608734;0.973244167;0.211307324;1.970062612;;;
200.207;200.387;62.319;-0.585460005;0.256520192;0.118898612;1.17568619;;;
200.208;200.388;62.32;0.329170136;-0.021178388;0.765400412;0.681601515;;;
200.209;200.389;62.321;0.415483014;0.504218203;0.201096697;1.157354427;;;
200.21;200.39;62.322;-0.443395;-0.118834258;0.204123971;0.653667399;;;
200.212;200.392;62.323;1.243666037;0.623198182;0.417059086;1.61914028;;;
200.213;200.393;62.324;-0.152687502;0.138392121;0.23311393;0.762785039;;;
200.214;200.394;62.325;0.512847878;0.101432048;0.406745845;1.260361479;;;
;200.3945;62.326;0.151197366;-0.0996137;0.212205243;1.015501494;;;
200.215;200.395;62.327;-0.210453146;-0.300659449;0.017664641;0.770641509;;;
200.216;200.396;62.328;0.012421112;0.380768948;0.303254247;1.570255578;;;
200.217;200.397;62.329;1.14567475;0.551361955;0.147888572;1.48645323;;;
200.218;200.398;62.33;-1.221642745;-0.449390994;0.321110008;0.191008604;;;
200.219;200.399;62.331;-0.514047171;-0.453034567;0.232703452;0.184025075;;;
200.22;200.4;62.332;-0.376188193;-0.1565676;1.46095425;0.686839162;;;
200.221;200.401;62.333;-0.311129134;0.302903764;0.68894901;1.355512061;;;
200.223;200.403;62.334;-0.193718561;-0.173278271;-0.332421212;0.616130931;;;
200.224;200.404;62.335;0.317446975;0.152363562;-0.062840227;0.680728574;;;
200.225;200.405;62.336;-0.351399521;-0.539628619;-0.016969387;-0.133725494;;;
200.226;200.406;62.337;-1.886954398;-2.012539927;-1.024126835;-1.518210114;;;
;200.4065;62.338;-1.362790475;-1.82229385;-1.10222015;-1.487220704;;;
200.227;200.407;62.339;-0.838626553;-1.632047773;-1.180313459;-1.456231294;;;
200.228;200.408;62.34;-1.484160968;-1.792142575;-0.250838849;-1.603758344;;;
200.229;200.409;62.341;0.144552755;-0.287094316;1.699390277;0.566373287;;;
200.23;200.41;62.342;-0.563042819;-0.791088159;0.864992477;-0.37989489;;;
200.231;200.411;62.343;-0.549485116;-0.693078444;-0.089469945;-0.291727837;;;
200.232;200.412;62.344;-0.600762753;-0.702685451;-0.306048048;-0.496869001;;;
200.233;200.413;62.345;-0.449525056;-1.080687377;0.799675272;-0.468061944;;;
200.235;200.415;62.346;-0.863907407;-0.931038402;0.916199521;-0.483774884;;;
200.236;200.416;62.347;-0.34173463;-0.683576307;0.560110439;-0.145073728;;;
200.237;200.417;62.348;0.098018072;-0.051873616;0.19191227;0.082763905;;;
200.238;200.418;62.349;-0.358021768;0.233636403;0.548617073;0.410989767;;;
;200.4185;62.35;-0.633292287;-0.269230299;0.127031195;-0.210980783;;;
200.239;200.419;62.351;-0.908562805;-0.772096973;-0.294554683;-0.832951333;;;
200.24;200.42;62.352;0.401030417;-0.414265809;0.561752345;-0.323153717;;;
200.241;200.421;62.353;-1.025481179;-0.96312289;0.20874184;-1.006666616;;;
200.242;200.422;62.354;-0.798490389;-0.906817758;-0.330420139;-0.730817221;;;
200.243;200.423;62.355;-0.630025907;-0.972074558;0.107251315;-0.756132514;;;
200.244;200.424;62.356;0.145939841;-0.674598407;1.006966319;-0.335374893;;;
200.245;200.425;62.357;0.890360446;-0.653444664;1.267362878;-0.116266671;;;
200.247;200.427;62.358;-0.515971201;-0.75407568;0.142244511;-0.564085467;;;
200.248;200.428;62.359;-1.074700546;-0.798296693;0.469035776;-0.27077725;;;
200.249;200.429;62.36;0.519738589;-0.243567932;1.232215757;0.378690945;;;
;200.4295;62.361;-0.015119368;-0.34377298;1.013790505;-0.054287851;;;
200.25;200.43;62.362;-0.549977316;-0.443978029;0.79536526;-0.487266648;;;
200.251;200.431;62.363;-0.076576459;-0.90520567;0.791106552;-0.27863372;;;
200.252;200.432;62.364;0.041997482;-0.636118;0.553645421;-0.413939594;;;
200.253;200.433;62.365;-0.502860954;-0.734481589;-0.207687418;-0.778828983;;;
200.254;200.434;62.366;-0.882521279;-0.630272523;-0.419391098;-0.557974879;;;
200.255;200.435;62.367;-1.168664798;-1.173900147;-0.201581568;-0.702883105;;;
200.256;200.436;62.368;0.021370093;-0.67261933;-0.41810836;-0.548372527;;;
200.258;200.438;62.369;-1.193453462;-0.729540482;-0.965069405;-0.386878419;;;
200.259;200.439;62.37;0.21909772;-0.153395858;1.216309765;-0.013259619;;;
200.26;200.44;62.371;0.014524126;-0.291367024;1.545461273;0.094112139;;;
200.261;200.441;62.372;0.703058372;-0.459613993;1.957529208;0.39003918;;;
;200.4415;62.373;0.120189159;-0.67088274;1.536430771;0.059194494;;;
200.262;200.442;62.374;-0.462680047;-0.882151488;1.115332341;-0.271650191;;;
200.263;200.443;62.375;0.511371296;-0.420963194;1.620219458;0.081018023;;;
200.264;200.444;62.376;0.559874744;0.223360969;1.522731089;0.706916807;;;
200.265;200.445;62.377;0.483360997;0.435776546;1.243349955;0.49130035;;;
